Status,Type,Application Number,License Number,Entity Name,Street,City,State,Zip Code,Latitude,Longitude,Georeference
Pending,Adult-Use Retail,OCMRETL-2023-000852,,Green Flower Wellness 5 LLC,270-01 Hillside Avenue,Glen Oaks,NY,11004,40.73913859,-73.70052623,POINT (-73.70052623 40.73913859)
Active,Adult-Use Retail,OCMRETL-2023-000166,OCM-RETL-24-000159,Star Life Retail Group LLC,1 Hall Ave,White Plains,NY,10603,41.03835882,-73.75924999,POINT (-73.75924999 41.03835882)
Pending,Adult-Use Retail,OCMRETL-2023-001463,,A & P DISPENSARY CORP,3137 Fulton St,Brooklyn,NY,11208,40.68170705,-73.87922458,POINT (-73.87922458 40.68170705)
Active,RO Medical,,MM0204D,"Vireo Health of NY, LLC.",221-223 E. Post Road.,White Plains,NY,10601,41.02993114,-73.7636676,POINT (-73.7636676 41.02993114)
Pending,Adult-Use Retail,OCMRETL-2023-001442,,AYRA FOODS & BEVERAGES INC,502 Broadway St,Elmira,NY,14904,42.07450199,-76.81282345,POINT (-76.81282345 42.07450199)
Active,CAURD Retail,OCMCAURDP-2023-000159,OCM-CAURD-24-000064,"Luke Cloud, Inc.",925 Hunts Point Ave,Bronx,NY,10459,40.82038568,-73.89101128,POINT (-73.89101128 40.82038568)
Pending,Adult-Use Microbusiness,OCMMICR-2023-000434,,Zwarte Creek Farms LLC,387 Altamont rd,Altamont,NY,12009,42.65745124,-73.97934311,POINT (-73.97934311 42.65745124)
Pending,Adult-Use Retail,OCMRETL-2023-000553,,Decades Hamburg,4433 Southwestern Blvd,Hamburg,NY,14075,42.7638626,-78.8237963,POINT (-78.8237963 42.7638626)
Pending,Adult-Use Microbusiness,OCMMICR-2023-000104,,"Pure Cannabis, Inc.",94 Genesee St,Utica,NY,13502,43.1031087,-75.22789678,POINT (-75.22789678 43.1031087)
Active,Adult-Use Microbusiness,OCMMICR-2023-000453,OCM-MICR-24-000012,"Sunwalker Farms, Inc.",39 Eastern Blvd #101,Canandaigua,NY,14424,42.87793844,-77.26771197,POINT (-77.26771197 42.87793844)
Pending,Adult-Use Retail,OCMRETL-2023-001492,,Green Cloud Horizon USA Inc.,17116 Hillside Ave,Jamaica,NY,11432,40.71144066,-73.79080359,POINT (-73.79080359 40.71144066)
Pending,Adult-Use Retail,OCMRETL-2023-000401,,EMERALDZ INC.,272 Delaware Ave,Albany,NY,12209,42.64356715,-73.77549458,POINT (-73.77549458 42.64356715)
Pending,Adult-Use Retail,OCMRETL-2023-001904,,Bubble Buds LLC,700 Kirkpatrick St,Syracuse,NY,13208,43.06951442,-76.15303136,POINT (-76.15303136 43.06951442)
Active,RO Medical & Adult-Use,,MM0906D,"Citiva Medical, LLC",204-206 Flatbush Ave,Brooklyn,NY,11217,40.68130244,-73.97553763,POINT (-73.97553763 40.68130244)
Active,CAURD Retail,OCMCAURDP-2023-000220,OCM-CAURD-24-000090,Devil's Lettuce LLC,650 Orchard Park,West Seneca,NY,14224,42.83067181,-78.77670004,POINT (-78.77670004 42.83067181)
Pending,Adult-Use Microbusiness,OCMMICR-2023-000483,,Greens Roadhouse LLC,63 Greens Rd,Catskill,NY,12414,42.20695292,-73.98391116,POINT (-73.98391116 42.20695292)
Pending,CAURD Retail,OCMCAURDP-2023-000111,,Actualize Dispensary Inc,104 7th Ave,New York,NY,10011,40.74007882,-73.99865547,POINT (-73.99865547 40.74007882)
Active,CAURD Retail,OCMCAURDP-2024-000045,OCM-CAURD-24-000169,Eastern Holdings 88 LLC,4034 Hylan Blvd,Staten Island,NY,10308,40.54131331,-74.14676021,POINT (-74.14676021 40.54131331)
Pending,Adult-Use Microbusiness,OCMMICR-2023-000491,,AP Cohen Licensing Inc.,621 West 46th St,New York,NY,10036,40.76361962,-73.9968722,POINT (-73.9968722 40.76361962)
Active,Adult-Use Microbusiness,OCMMICR-2023-000457,OCM-MICR-24-000152,Crooked Lake Cannabis Inc,130 W Morris St,Bath,NY,14810,42.3343113,-77.3253465,POINT (-77.3253465 42.3343113)
Pending,Adult-Use Retail,OCMRETL-2023-001962,,"4P Group, LLC",629 Nostrand Ave,Brooklyn,NY,11216,40.6757616,-73.94987229,POINT (-73.94987229 40.6757616)
Pending,CAURD Retail,,,CAURD Pending Location,1657 Hudson Ave,Irondequoit,NY,14617,43.19765815,-77.60031623,POINT (-77.60031623 43.19765815)
Pending,Adult-Use Retail,OCMRETL-2023-001602,,Herb-Z LLC,6004 Court Street Rd,Syracuse,NY,13206,43.08162862,-76.10426247,POINT (-76.10426247 43.08162862)
Active,CAURD Retail,OCMCAURDP-2023-000060,OCM-CAURD-24-000045,Tiki Leaves LLC,1511 Neptune Ave,Brooklyn,NY,11224,40.57920449,-73.98326346,POINT (-73.98326346 40.57920449)
Active,CAURD Retail,OCMCAURDP-2024-000067,OCM-CAURD-24-000202,Holly R King,308 Plaza Rd,Kingston,NY,12401,41.94058,-74.01957,POINT (-74.01957 41.94058)
Pending,Adult-Use Retail,OCMRETL-2023-001200,,Budhampton LLC,2033 Montauk Hwy,Bridgehampton,NY,11932,40.93443,-72.31576,POINT (-72.31576 40.93443)
Pending,Adult-Use Retail,OCMRETL-2023-001519,,Planet Green Dispensary and Suply LLC,1738 State St,Schenectady,NY,12304,42.78266702,-73.90663708,POINT (-73.90663708 42.78266702)
Pending,CAURD Retail,OCMCAURDP-2024-000061,,Robert L Grannis,1143 Upper Front St,Binghamton,NY,13905,42.14956404,-75.89956537,POINT (-75.89956537 42.14956404)
Pending,Adult-Use Retail,OCMRETL-2023-001623,,Canna Buddha Corp,21546 39th Ave,Bayside,NY,11361,40.76596014,-73.76781133,POINT (-73.76781133 40.76596014)
Active,Adult-Use Retail,OCMRETL-2023-001883,OCM-RETL-24-000108,"Lisa Birnbaum Personal Training, LLC",125 State St,Rochester,NY,14614,43.1576973,-77.61456147,POINT (-77.61456147 43.1576973)
Pending,Adult-Use Retail,OCMRETL-2023-001854,,"Greenbush Collective, LLC",3 Winter St,Troy,NY,12180,42.70097804,-73.65727507,POINT (-73.65727507 42.70097804)
Pending,Adult-Use Retail,OCMRETL-2023-001610,,Elevated Times-1 LLC,1173 E Union St,Newark,NY,14513,43.04680337,-77.07342321,POINT (-77.07342321 43.04680337)
Active,CAURD Retail,OCMCAURDP-2023-000020,OCM-CAURD-23-000010,Flynnstoned Corporation,219 Walton St,Syracuse,NY,13202,43.04792731,-76.15639098,POINT (-76.15639098 43.04792731)
Active,Adult-Use Microbusiness,OCMMICR-2023-000429,OCM-MICR-24-000007,Mark Turk Farms LLC,25 Railroad Ave,Roscoe,NY,12776,41.93160961,-74.91322852,POINT (-74.91322852 41.93160961)
Pending,CAURD Retail,,,CAURD Pending Location,75 Smithfield Blvd,Plattsburgh,NY,12901,44.70171221,-73.49403335,POINT (-73.49403335 44.70171221)
Active,Adult-Use Retail,OCMRETL-2023-001090,OCM-RETL-24-000079,"Misfits Dispensary R3, LLC","420 Jefferson Rd, Ste 2",Rochester,NY,14623,43.08915001,-77.64072378,POINT (-77.64072378 43.08915001)
Active,Adult-Use Retail,OCMRETL-2023-001304,OCM-RETL-24-000177,"Corner House, LLC",1708 Trumansburg Rd,Ithaca,NY,14850,42.49464752,-76.59405799,POINT (-76.59405799 42.49464752)
Active,CAURD Retail,OCMCAURDP-2023-000141,OCM-CAURD-24-000086,"High Points of the Finger Lakes, LLC",811 Canandaigua Road,Geneva,NY,14456,42.85684829,-77.01363782,POINT (-77.01363782 42.85684829)
Pending,CAURD Retail,OCMCAURDP-2024-000043,,Sherwood R Adams,92-29 Queens Blvd,Rego Park,NY,11374,40.73216756,-73.86678767,POINT (-73.86678767 40.73216756)
Active,Adult-Use Retail,OCMRETL-2023-001981,OCM-RETL-24-000100,Benjamin E Botach,35 Chestnut St,Rochester,NY,14604,43.15633963,-77.60279896,POINT (-77.60279896 43.15633963)
Active,Adult-Use Retail,OCMRETL-2023-000110,OCM-RETL-24-000007,Cloud 9 Evolution LLC,1643 Eastern Pkwy,Schenectady,NY,12309,42.80668083,-73.91208115,POINT (-73.91208115 42.80668083)
Active,Adult-Use Microbusiness,OCMMICR-2023-000565,OCM-MICR-24-000043,BKL Flowers LLC,232 5th Ave,Brooklyn,NY,11215,40.67569695,-73.98103227,POINT (-73.98103227 40.67569695)
Active,Adult-Use Retail,OCMRETL-2023-002044,OCM-RETL-24-000125,iwachiw2001 inc,48-35 41 St.,Sunnyside,NY,11104,40.73918162,-73.92416077,POINT (-73.92416077 40.73918162)
Pending,Adult-Use Retail,OCMRETL-2023-001454,,True North Cannabis LLC,1471 State Route 9,Lake George,NY,12845,43.36765277,-73.69897868,POINT (-73.69897868 43.36765277)
Active,CAURD Retail,OCMCAURDP-2024-000078,OCM-CAURD-24-000190,Excelsior Provisions LLC,2532 Route 9N,Greenfield Center,NY,12833,43.12322515,-73.84687359,POINT (-73.84687359 43.12322515)
Pending,Adult-Use Microbusiness,OCMMICR-2023-000556,,Lasting Legacy Cannabis LLC,74 S Platt St,Plattsburgh,NY,12901,44.6861204,-73.45388444,POINT (-73.45388444 44.6861204)
Pending,Adult-Use Retail,OCMRETL-2023-000257,,Route 112 Auto Detail Corp.,2906 Route 112,Medford,NY,11763,40.82979639,-72.99537065,POINT (-72.99537065 40.82979639)
Active,Adult-Use Retail,OCMRETL-2023-001900,OCM-RETL-24-000094,Ashley Capraro LLC,978 Montauk Hwy,Water Mill,NY,11976,40.91542089,-72.34716599,POINT (-72.34716599 40.91542089)
Active,CAURD Retail,OCMCAURDP-2023-000155,OCM-CAURD-24-000116,Eyal Eitan,2034 Jerome Ave,Bronx,NY,10453,40.85339353,-73.90763325,POINT (-73.90763325 40.85339353)
Active,Adult-Use Microbusiness,OCMMICR-2023-000043,OCM-MICR-24-000128,"Victory Road Farm, LLC",556 Victory Road,Red Creek,NY,13143,43.21483624,-76.70378924,POINT (-76.70378924 43.21483624)
Active,CAURD Retail,OCMCAURDP-2023-000120,OCM-CAURD-24-000129,Savo Group Inc,110 Chambers St,New York,NY,10007,40.71498156,-74.00819895,POINT (-74.00819895 40.71498156)
Pending,Adult-Use Retail,OCMRETL-2023-000966,,The Green Closet Inc.,1001 North St,Endicott,NY,13760,42.10393946,-76.0525246,POINT (-76.0525246 42.10393946)
Pending,Adult-Use Microbusiness,OCMMICR-2023-000530,,"Hidden City Farms, LLC",1064 Saw Mill River Rd,Yonkers,NY,10710,40.97135192,-73.8677879,POINT (-73.8677879 40.97135192)
Pending,Adult-Use Retail,OCMRETL-2023-001042,,"Lucid Vista, LLC",1656 Western Ave,Albany,NY,12203,42.6864029,-73.85432282,POINT (-73.85432282 42.6864029)
Active,CAURD Retail,OCMCAURDP-2023-000097,OCM-CAURD-24-000075,Weeds R Us Inc,1115 First Avenue,New York,NY,10065,40.76099343,-73.96105387,POINT (-73.96105387 40.76099343)
Pending,Adult-Use Retail,OCMRETL-2023-000302,,Premium Management Group LLC,964 Broadway St,Buffalo,NY,14212,42.89313008,-78.83894828,POINT (-78.83894828 42.89313008)
Pending,Adult-Use Retail,OCMRETL-2023-001082,,Brooklyn High Retail 2 LLC,1833 E New York Ave,Brooklyn,NY,11207,40.67623079,-73.90182647,POINT (-73.90182647 40.67623079)
Pending,Adult-Use Retail,OCMRETL-2023-000163,,Gk mart llc,293 Amherst St,Buffalo,NY,14207,42.93717924,-78.89262091,POINT (-78.89262091 42.93717924)
Active,CAURD Retail,OCMCAURDP-2023-000245,OCM-CAURD-24-000193,Northern Lights Dispensary LLC,172-06 125th Ave,Jamaica,NY,11434,40.68147134,-73.77209855,POINT (-73.77209855 40.68147134)
Active,Adult-Use Retail,OCMRETL-2023-001533,OCM-RETL-24-000073,Dark Horse 2 Corp,15 Centre St,Albany,NY,12207,42.65596812,-73.74527346,POINT (-73.74527346 42.65596812)
Active,CAURD Retail,OCMCAURDP-2023-000019,OCM-CAURD-24-000152,Air City Cannabis LLC,1707 Oriskany St,Utica,NY,13502,43.11073077,-75.2561088,POINT (-75.2561088 43.11073077)
Pending,Adult-Use Retail,OCMRETL-2023-001972,,"Metro Heights, LLC",1630 Eggert Rd,Amherst,NY,14226,42.97234887,-78.80668459,POINT (-78.80668459 42.97234887)
Active,CAURD Retail,OCMCAURDP-2023-000022,OCM-CAURD-23-000016,Strain Stars LLC,1815 Broadhollow Rd,Farmingdale,NY,11735,40.74369657,-73.42261694,POINT (-73.42261694 40.74369657)
Pending,CAURD Retail,OCMCAURDP-2024-000042,,Nucleus Dispensary Inc.,1819 2nd Ave,New York,NY,10128,40.78311975,-73.94799808,POINT (-73.94799808 40.78311975)
Active,Adult-Use Retail,OCMRETL-2023-000926,OCM-RETL-24-000115,"Parra's Enterprises, LLC",31 Webster St,North Tonawanda,NY,14120,43.02295552,-78.8775587,POINT (-78.8775587 43.02295552)
Active,CAURD Retail,OCMCAURDP-2023-000171,OCM-CAURD-24-000072,Central Apothecary LLC,974 State Route 67,Ballston Spa,NY,12020,42.98496105,-73.85188062,POINT (-73.85188062 42.98496105)
Active,Adult-Use Retail,OCMRETL-C-2024-000941,OCM-RETL-24-000186,Dizzpensary LLC,287 Smith St,Brooklyn,NY,11231,40.68211112,-73.9935083,POINT (-73.9935083 40.68211112)
Pending,Adult-Use Microbusiness,OCMMICR-2023-000463,,Utopia Flowers LLC,2204 Utopia Pkwy,Whitestone,NY,11357,40.77692677,-73.79340554,POINT (-73.79340554 40.77692677)
Pending,Adult-Use Retail,OCMRETL-2023-001513,,Special Friends Group LLC,1697 Nostrand Ave,Brooklyn,NY,11226,40.64453952,-73.94882606,POINT (-73.94882606 40.64453952)
Pending,Adult-Use Retail,OCMRETL-2023-001432,,Gtb2 Enterprise Llc,4646 Genesee St,Cheektowaga,NY,14225,42.93445399,-78.71730118,POINT (-78.71730118 42.93445399)
Active,Adult-Use Retail,OCMRETL-2023-002092,OCM-RETL-24-000016,Blue Forest Farms Dispensary LLC,122 E 25th Street,New York,NY,10010,40.74012877,-73.98240533,POINT (-73.98240533 40.74012877)
Pending,Adult-Use Retail,OCMRETL-2023-001803,,PVS GROUP USA INC.,405 HUNTS POINT AVENUE,Bronx,NY,10474,40.80942146,-73.88054887,POINT (-73.88054887 40.80942146)
Pending,Adult-Use Retail,OCMRETL-2023-001928,,GET YO CHRONIC G.Y.C. LLC,930 Walden Ave,Buffalo,NY,14211,42.90654435,-78.80178818,POINT (-78.80178818 42.90654435)
Active,Adult-Use Retail,OCMRETL-2023-001502,OCM-RETL-24-000074,ATNC INC,105 Dryden Rd,Ithaca,NY,14850,42.44181262,-76.48684206,POINT (-76.48684206 42.44181262)
Pending,Adult-Use Retail,OCMRETL-2023-000219,,BME Holdings of NY LLC,607 W 3rd St,Jamestown,NY,14701,42.0941521,-79.25422024,POINT (-79.25422024 42.0941521)
Active,Adult-Use Retail,OCMRETL-C-2024-000023,OCM-RETL-24-000008,My Bud 420 Inc.,1798 E Tremont Ave,Bronx,NY,10460,40.84023284,-73.86744167,POINT (-73.86744167 40.84023284)
Pending,Adult-Use Retail,OCMRETL-2023-002074,,Womens United Alliance LLC,1370 Ralph Ave,Brooklyn,NY,11236,40.64320279,-73.91985815,POINT (-73.91985815 40.64320279)
Pending,Adult-Use Retail,OCMRETL-2023-001691,,Grass Express inc,203 Medford Ave,Patchogue,NY,11772,40.77391003,-73.00759034,POINT (-73.00759034 40.77391003)
Pending,Adult-Use Microbusiness,OCMMICR-2023-000356,,Windmill Botanicals LLC,3 Sam Stratton Rd,Amsterdam,NY,12010,42.92934095,-74.1663784,POINT (-74.1663784 42.92934095)
Pending,CAURD Retail,OCMCAURDP-2024-000098,,Big Bro Consulting LLC,45 Grove Ave,Albany,NY,12208,42.6532504,-73.78716493,POINT (-73.78716493 42.6532504)
Active,RO Medical,,MM0306D,"Columbia Care NY, LLC.",44 Court Street,Brooklyn,NY,11201,40.69262043,-73.99101851,POINT (-73.99101851 40.69262043)
Pending,Adult-Use Retail,OCMRETL-2023-000809,,Green Leaf Holdings group llc,2955 Bailey Ave,Buffalo,NY,14215,42.93524229,-78.8135666,POINT (-78.8135666 42.93524229)
Pending,Adult-Use Retail,OCMRETL-2023-001318,,10613 Northern LLC,10613 Northern Blvd,Corona,NY,11368,40.75782464,-73.86264184,POINT (-73.86264184 40.75782464)
Active,RO Medical & Adult-Use,,MM1003D,"Curaleaf NY, LLC",345 Cornelia St,Plattsburgh,NY,12901,44.69719722,-73.48021731,POINT (-73.48021731 44.69719722)
Pending,Adult-Use Retail,OCMRETL-2023-001771,,Smitty Buds Inc.,693 E Lincoln Ave,Mount Vernon,NY,10552,40.91653151,-73.8129572,POINT (-73.8129572 40.91653151)
Active,CAURD Retail,OCMCAURDP-2023-000142,OCM-CAURD-24-000197,Hydroman Dispensary,260 Warren St,Hudson,NY,12534,42.25364337,-73.7919826,POINT (-73.7919826 42.25364337)
Active,Adult-Use Retail,OCMRETL-2023-002127,OCM-RETL-24-000092,JJSK INC.,165 S Plank Rd,Newburgh,NY,12550,41.522582,-74.06349063,POINT (-74.06349063 41.522582)
Pending,CAURD Retail,OCMCAURDP-2023-000092,,"Dynasty Commodities, Inc.",2119 Frederick Douglass Blvd,New York,NY,10026,40.80345439,-73.95615634,POINT (-73.95615634 40.80345439)
Active,CAURD Retail,OCMCAURDP-2023-000044,OCM-CAURD-23-000033,Amsterdam Cannabis Inc.,1451 State Highway 5S,Amsterdam,NY,12010,42.92911739,-74.20166103,POINT (-74.20166103 42.92911739)
Active,CAURD Retail,OCMCAURDP-2023-000114,OCM-CAURD-24-000112,Cat Rock CAURD LLC,244 Main St,White Plains,NY,10601,41.0333001,-73.76460904,POINT (-73.76460904 41.0333001)
Pending,Adult-Use Retail,OCMRETL-2023-001641,,Dreem Box LLC,386 Canal St,New York,NY,10013,40.72134995,-74.00474269,POINT (-74.00474269 40.72134995)
Active,Adult-Use Retail,OCMRETL-2023-002006,OCM-RETL-24-000093,Divine Kinnektion LLC,765 Washington Ave,Brooklyn,NY,11238,40.67390544,-73.96293507,POINT (-73.96293507 40.67390544)
Active,Adult-Use Retail,OCMRETL-2023-002204,OCM-RETL-24-000071,"CL Canna Holdings, LLC",3808 State Route 13,Pulaski,NY,13142,43.55907874,-76.12040656,POINT (-76.12040656 43.55907874)
Pending,Adult-Use Retail,OCMRETL-2023-001557,,GSS Consulting LLC,25405 Hillside Ave,Glen Oaks,NY,11004,40.73625594,-73.71362921,POINT (-73.71362921 40.73625594)
Active,Adult-Use Retail,OCMRETL-2023-002035,OCM-RETL-24-000138,1650 Crane Street Dispensary LLC,1650 Crane St Ste 1,Schenectady,NY,12303,42.78950697,-73.94395544,POINT (-73.94395544 42.78950697)
Pending,Adult-Use Retail,OCMRETL-2023-000192,,The Upscale Smoker LLC,911 Central Ave,Albany,NY,12206,42.6816552,-73.79174174,POINT (-73.79174174 42.6816552)
Active,Adult-Use Retail,OCMRETL-2023-000875,OCM-RETL-24-000145,Command Cannabis Dispensary Inc.,3871 S Park Ave,Blasdell,NY,14219,42.79226918,-78.82393482,POINT (-78.82393482 42.79226918)
Active,CAURD Retail,OCMCAURDP-2023-000121,OCM-CAURD-24-000163,AFI & Associates Group LLC,2371 Central Park Ave,Yonkers,NY,10710,40.97573571,-73.83290046,POINT (-73.83290046 40.97573571)
Pending,Adult-Use Retail,OCMRETL-C-2024-000016,,Free Thinkers LLC,2 Coenties Slip,New York,NY,10004,40.70369044,-74.0105371,POINT (-74.0105371 40.70369044)
Active,CAURD Retail,OCMCAURDP-2023-000054,OCM-CAURD-24-000118,Big Gas Dispensary,98 N. Chestnut St.,New Paltz,NY,12561,41.75496589,-74.08363507,POINT (-74.08363507 41.75496589)
Pending,Adult-Use Retail,OCMRETL-2023-001178,,"Iodice Provisions, LLC",1326 Erie Blvd W,Rome,NY,13440,43.22592881,-75.48750442,POINT (-75.48750442 43.22592881)
Pending,CAURD Retail,OCMCAURDP-2023-000178,,Union Chill Cannabis NY LLC,34 W Pulteney Street,Corning,NY,14830,42.15115795,-77.06307101,POINT (-77.06307101 42.15115795)
Active,Adult-Use Retail,OCMRETL-2023-001600,OCM-RETL-24-000157,Green Veteran NY LLC,35 Route 9W,Haverstraw,NY,10927,41.19200844,-73.9654005,POINT (-73.9654005 41.19200844)
Active,Adult-Use Retail,OCMRETL-2023-001329,OCM-RETL-24-000163,Nicless LLC,638 Columbia St Ext,Latham,NY,12110,42.76245484,-73.7513684,POINT (-73.7513684 42.76245484)
Active,Adult-Use Microbusiness,OCMMICR-2023-000419,OCM-MICR-24-000103,Custom Osmotics LLC,621 Lake Ave,Rochester,NY,14613,43.17603835,-77.63033784,POINT (-77.63033784 43.17603835)
Pending,Adult-Use Retail,OCMRETL-2023-000123,,John L Polenski JR,158 Weaver Rd,Saint Johnsville,NY,13452,43.03706065,-74.53356292,POINT (-74.53356292 43.03706065)
Pending,Adult-Use Retail,OCMRETL-2023-000583,,My Choice Smoke Shop Inc.,2628 Seneca St,West Seneca,NY,14224,42.84508222,-78.79554613,POINT (-78.79554613 42.84508222)
Pending,Adult-Use Retail,OCMRETL-2023-000083,,KAY&ZY Holdings LLC,547 State Route 32,Highland Mills,NY,10930,41.34902423,-74.12519355,POINT (-74.12519355 41.34902423)
Pending,Adult-Use Microbusiness,OCMMICR-2023-000249,,ROC Dispensary and Hydroponics LLC,324 Jefferson Rd.,Rochester,NY,14623,43.09155359,-77.64878431,POINT (-77.64878431 43.09155359)
Pending,Adult-Use Retail,OCMRETL-2023-002090,,Tink & E Co. Inc.,1201 Ostrander Ave,Riverhead,NY,11901,40.93441194,-72.66938426,POINT (-72.66938426 40.93441194)
Active,Adult-Use Retail,OCMRETL-2023-001931,OCM-RETL-24-000038,"Asking Edward, LLC",48 E Genesee St,Auburn,NY,13021,42.93315829,-76.5602618,POINT (-76.5602618 42.93315829)
Active,CAURD Retail,OCMCAURDP-2023-000028,OCM-CAURD-23-000028,Capital District Cannabis & Wellness Inc.,997 Central Ave,Albany,NY,12205,42.68424072,-73.79468382,POINT (-73.79468382 42.68424072)
Active,CAURD Retail,OCMCAURDP-2023-000062,OCM-CAURD-24-000077,Polanco Brothers Corp,12 E 42nd St,New York,NY,10017,40.75326418,-73.9805407,POINT (-73.9805407 40.75326418)
Pending,Adult-Use Retail,OCMRETL-2023-000877,,RT 13 Cannabis Novelties LLC,2586 Elmira Rd,Newfield,NY,14867,42.32680355,-76.65082952,POINT (-76.65082952 42.32680355)
Pending,Adult-Use Microbusiness,OCMMICR-2023-000011,,Frees' Ice Cream Novelties LLC,12 Commons drive Suite 11,Cooperstown,NY,13326,42.64928938,-74.95946589,POINT (-74.95946589 42.64928938)
Active,Adult-Use Retail,OCMRETL-2023-001360,OCM-RETL-24-000098,"CEBEDE, LLC",24 Washington St,Ellicottville,NY,14731,42.27533887,-78.67227776,POINT (-78.67227776 42.27533887)
Active,CAURD Retail,OCMCAURDP-2024-000041,OCM-CAURD-24-000196,"Fireleaf, LLC",2102 Ralph Ave,Brooklyn,NY,11234,40.62635148,-73.91805528,POINT (-73.91805528 40.62635148)
Active,CAURD Retail,OCMCAURDP-2024-000039,OCM-CAURD-24-000160,"JS Curry & Associates, LLC",1363 Delaware Ave,Buffalo,NY,14209,42.92158141,-78.8674416,POINT (-78.8674416 42.92158141)
Active,Adult-Use Retail,OCMRETL-2023-000471,OCM-RETL-24-000026,Bayside supply inc,224-15 Union Turnpike  11364,Oakland Gardens,NY,11364,40.73588765,-73.74629281,POINT (-73.74629281 40.73588765)
Active,Adult-Use Retail,OCMRETL-2023-001130,OCM-RETL-24-000011,OET INC.,733 Flatbush Ave,Brooklyn,NY,11226,40.65507423,-73.95966747,POINT (-73.95966747 40.65507423)
Active,CAURD Retail,OCMCAURDP-2023-000131,OCM-CAURD-24-000165,Rodge Archer,3633 Kingsbridge Ave,Bronx,NY,10463,40.88412535,-73.90233941,POINT (-73.90233941 40.88412535)
Pending,Adult-Use Retail,OCMRETL-2023-002176,,Eshe Holdings LLC,576 North Ave,New Rochelle,NY,10801,40.92149184,-73.7880185,POINT (-73.7880185 40.92149184)
Active,Adult-Use Microbusiness,OCMMICR-C-2024-000003,OCM-MICR-24-000010,The Herbal Confectionery LLC,1 Water St.,New Paltz,NY,12561,41.74658523,-74.09008652,POINT (-74.09008652 41.74658523)
Active,RO Medical,,MM0804D,"Valley Agriceuticals, LLC",345 Route 304,Bardonia,NY,10956,41.11003762,-73.99595274,POINT (-73.99595274 41.11003762)
Active,CAURD Retail,OCMCAURDP-2023-000122,OCM-CAURD-24-000068,"The BonTemps Firm Retail, LLC",232 Allen St,Buffalo,NY,14201,42.89940623,-78.87863627,POINT (-78.87863627 42.89940623)
Pending,RO Medical & Adult-Use,,,"PharmaCann of New York, LLC.",3760 Union Road,Cheektowaga,NY,14225,42.91442399,-78.75431956,POINT (-78.75431956 42.91442399)
Active,Adult-Use Retail,OCMRETL-2023-000003,OCM-RETL-24-000120,Seaweed RBNY,7313 Beach Channel Dr,Arverne,NY,11692,40.59057748,-73.80346129,POINT (-73.80346129 40.59057748)
Active,Adult-Use Retail,OCMRETL-2023-001955,OCM-RETL-24-000142,R&R Cannabis LLC,12 Hudson Ave,Glens Falls,NY,12801,43.30564819,-73.6510886,POINT (-73.6510886 43.30564819)
Pending,CAURD Retail,OCMCAURDP-2023-000089,,URBAN CLOUDS LLC,25-15 Broadway,Astoria,NY,11106,40.76334172,-73.92813299,POINT (-73.92813299 40.76334172)
Active,Adult-Use Retail,OCMRETL-C-2024-000006,OCM-RETL-24-000004,Down To Earth Canna Inc,248-15 Union Tpke,Jamaica,NY,11426,40.74246256,-73.721893,POINT (-73.721893 40.74246256)
Pending,Adult-Use Retail,OCMRETL-2023-000134,,Creekside Botanicals LLC,24 Church St Ste 420,Canajoharie,NY,13317,42.90564348,-74.57199786,POINT (-74.57199786 42.90564348)
Pending,Adult-Use Retail,OCMRETL-2023-001881,,Southern Tier Cannabis Inc.,1905 College Ave,Elmira,NY,14901,42.11744702,-76.82262047,POINT (-76.82262047 42.11744702)
Pending,CAURD Retail,OCMCAURDP-2023-000079,,Excite Unlimited LLC,"975 Allerton Ave, Unit B",Bronx,NY,10469,40.86556454,-73.85953693,POINT (-73.85953693 40.86556454)
Pending,CAURD Retail,OCMCAURDP-2024-000100,,420 Wonderland LLC,13872 Queens Blvd,Briarwood,NY,11435,40.70695089,-73.8173485,POINT (-73.8173485 40.70695089)
Pending,Adult-Use Retail,OCMRETL-2023-001330,,720 winton road LLC,722 N Winton Rd,Rochester,NY,14609,43.15925541,-77.54769772,POINT (-77.54769772 43.15925541)
Active,Adult-Use Microbusiness,OCMMICR-2023-000585,OCM-MICR-24-000017,LotusWorks Wellness Inc.,261 Main St,Beacon,NY,12508,41.50648847,-73.97264978,POINT (-73.97264978 41.50648847)
Active,CAURD Retail,OCMCAURDP-2023-000059,OCM-CAURD-24-000046,Buddega NYC LLC,475 Central Avenue,White Plains,NY,10606,41.02999159,-73.78865275,POINT (-73.78865275 41.02999159)
Active,Adult-Use Retail,OCMRETL-2023-001197,OCM-RETL-24-000185,Satura Development Group LLC,1561 Westchester Ave,Bronx,NY,10472,40.82881658,-73.87725273,POINT (-73.87725273 40.82881658)
Active,Adult-Use Retail,OCMRETL-2023-001805,OCM-RETL-24-000061,KushKlub NY LLC,186 Orchard St,New York,NY,10002,40.72162061,-73.98835644,POINT (-73.98835644 40.72162061)
Pending,Adult-Use Retail,OCMRETL-2023-001345,,Garden Bliss LLC,1031 Southern Blvd,Bronx,NY,10459,40.82387075,-73.89193468,POINT (-73.89193468 40.82387075)
Active,CAURD Retail,OCMCAURDP-2023-000063,OCM-CAURD-24-000137,DNP-Z LLC,2375 Arthur Ave,Bronx,NY,10458,40.85507369,-73.88806576,POINT (-73.88806576 40.85507369)
